Categoria_do_egresso,Categoria_do_egresso_categórico,Escolaridade_do_pai,Escolaridade_do_pai_categórico,Escolaridade_do_pai_padronizado_categórico,Escolaridade_da_mãe,Escolaridade_da_mãe_categórico,Escolaridade_da_mãe_padronizado_categórico,Frequência_ao_cinema,Frequência_ao_cinema_categórico,Frequência_ao_teatro,Frequência_ao_teatro_categórico,Frequência_a_museus,Frequência_a_museus_categórico,Nº_de_viagens_ao_exterior_nas_férias,Nº_de_viagens_ao_exterior_nas_férias_categórico,Nº_de_viagens_ao_exterior_nas_férias_padronizado,Escolaridade_da_ocupação,Escolaridade_da_ocupação_categórico,Remuneração,Remuneração_categórico,Remuneração_padronizada_categórico
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Raramente,2,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Ensino Superior Completo,7,4,Frequentemente,4,Nunca,1,Raramente,2,,,,Ensino Médio Completo,3,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Incompleto,4,2,Ensino Fundamental Completo,3,2,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"De 5 a 7 salários mínimos (de R$ 5.500,01 a R$ 7.700,00)",8,3
"Cotista (vagas de cotas, ações afirmativas)",1,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Raramente,2,Raramente,2,Nunca,1,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Raramente,2,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Completo,3,2,Nunca,1,Nunca,1,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Não sei dizer,,,Ensino Fundamental Completo,3,2,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Especialização Completa,9,5,Especialização Completa,9,5,Ocasionalmente,3,Raramente,2,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Ocasionalmente,3,Nunca,1,Raramente,2,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Completo,3,2,Raramente,2,Nunca,1,Nunca,1,,,,Ensino Superior Completo,4,"Até 1 salário mínimo (até R$ 1.100,00)",1,1
Não cotista (vagas de ampla concorrência),2,Ensino Fundamental Incompleto,2,1,Ensino Fundamental Incompleto,2,1,Frequentemente,4,Nunca,1,Raramente,2,1,1,1,Ensino Superior Completo,4,"De 1,5 a 2 salários mínimos (de R$ 1.650,01 a R$ 2.200,00)",3,2
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Médio Completo,5,3,Raramente,2,Raramente,2,Nunca,1,,,,,,,,
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Incompleto,2,1,Ocasionalmente,3,Nunca,1,Nunca,1,,,,Ensino Médio Completo,3,"De 4 a 5 salários mínimos (de R$ 4.400,01 a R$ 5.500,00)",7,3
Não cotista (vagas de ampla concorrência),2,Ensino Médio Completo,5,3,Ensino Fundamental Completo,3,2,Raramente,2,Raramente,2,Raramente,2,,,,Ensino Superior Completo,4,"De 2 a 2,5 salários mínimos (de R$ 2.200,01 a R$ 2.750,00)",4,2
Não cotista (vagas de ampla concorrência),2,Especialização Completa,9,5,Especialização Completa,9,5,Ocasionalmente,3,Nunca,1,Ocasionalmente,3,1,1,1,Ensino Superior Completo,4,"De 2,5 a 3 salários mínimos (de R$ 2.750,01 a R$ 3.300,00)",5,2
Não cotista (vagas de ampla concorrência),2,Ensino Superior Completo,7,4,Mestrado Completo,11,5,Frequentemente,4,Ocasionalmente,3,Ocasionalmente,3,1,1,1,,,,,
Não cotista (vagas de ampla concorrência),2,Mestrado Incompleto,10,4,Mestrado Completo,11,5,Frequentemente,4,Raramente,2,Sempre,5,,,,,,,,
